new entry "Throw_MightyImpel"
type "SpellData"
data "SpellType" "Throw"
using "Throw_Throw"
data "TargetRadius" "9"
data "ThrowableTargetConditions" "TargetSizeEqualOrSmaller(Size.Medium) and not Grounded() and not IsItemDisabled() and CanMove(context.Target, context.Source, false) and not Tagged('CANT_SHOVE_THROW')"
data "Icon" "Action_MightyImpel"
data "DisplayName" "h022a69beg6f44g412eg985fg73f398953a61;1"
data "Description" "he647d545g4b1cg48bfg81dag9496560d6bd7;2"
data "ExtraDescription" "hab077323g30b7g4e98gae5egce9b21eb9edc;2"
data "PrepareSound" ""
data "PrepareLoopSound" ""
data "CastSound" "Action_Cast_Barbarian_MightyImpel"
data "TargetSound" "Action_Impact_FrenziedThrow"
data "UseCosts" "BonusActionPoint:1"
data "SpellFlags" "InventorySelection;RangeIgnoreVerticalThreshold;IsHarmful;HasHighGroundRangeExtension;IgnoreSilence;IgnoreVisionBlock;AddFallDamageOnLand;AbortOnSecondarySpellRollFail;CombatLogSetSingleLineRoll"
data "SpellActionType" ""
data "PrepareEffect" "adfdab5b-a3df-4415-86b5-01ff9d541564"
data "CastEffect" "46b91e09-f27b-4265-b05e-b000dbe5d500"
data "RequirementConditions" "HasStatus('SG_Rage')"

